2017-11-13 17:46:28.795 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-13 17:47:38.438 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-13 17:47:38.829 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-13 17:47:41.176 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPAN\USER 2' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPAN\USER 2" /add
2017-11-13 17:47:41.418 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.429 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.451 WARN  NServiceBus.QueuePermissions Queue [private$\MyQueue.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.462 WARN  NServiceBus.QueuePermissions Queue [private$\MyQueue.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.474 WARN  NServiceBus.QueuePermissions Queue [private$\MyQueue.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.486 WARN  NServiceBus.QueuePermissions Queue [private$\MyQueue.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.501 WARN  NServiceBus.QueuePermissions Queue [private$\MyQueue.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.513 WARN  NServiceBus.QueuePermissions Queue [private$\MyQueue.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.529 WARN  NServiceBus.QueuePermissions Queue [private$\MyQueue] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.542 WARN  NServiceBus.QueuePermissions Queue [private$\MyQueue] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 17:47:41.578 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-13 17:47:41.582 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-13 17:47:41.586 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-13 17:47:41.676 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-11-13 17:47:41.728 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-11-13 18:55:32.847 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-13 18:55:33.379 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-13 18:55:34.175 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPAN\USER 2' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPAN\USER 2" /add
2017-11-13 18:55:34.425 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
